Elenco delle specie ricercate all'interno del campione ordinate per ordine alfabetico
Taxon
Actinoallomurus luridus
Actinoallomurus oryzae
Actinoallomurus purpureus
Actinoallomurus radicium
Actinoallomurus spadix
Actinoallomurus vinaceus
Actinoallomurus yoronensis
Actinoalloteichus caeruleus
Actinoalloteichus cyanogriseus
Actinoalloteichus hoggarensis
Actinoalloteichus hymeniacidonis
Actinoalloteichus nanshanensis
Actinoalloteichus spitiensis
Actinobacillus anseriformium
Actinobacillus arthritidis
Actinobacillus capsulatus
Actinobacillus delphinicola
Actinobacillus equuli
Actinobacillus hominis
Actinobacillus indolicus
Actinobacillus lignieresii
Actinobacillus minor
Actinobacillus pleuropneumoniae
Actinobacillus porcinus
Actinobacillus scotiae
Actinobacillus seminis
Actinobacillus succinogenes
Actinobacillus suis
Actinobacillus ureae
Actinobaculum suis
Actinocatenispora rupis
Actinocatenispora sera
Actinocatenispora thailandica
Actinocorallia aurantiaca
Actinocorallia aurea
Actinocorallia cavernae
Actinocorallia glomerata
Actinocorallia herbida
Actinocorallia lasiicapitis
Actinocorallia libanotica
Actinocorallia longicatena
Actinocrinis puniceicyclus
Actinocrispum wychmicini
Actinokineospora acnipugnans
Actinokineospora alba
Actinokineospora auranticolor
Actinokineospora baliensis
Actinokineospora bangkokensis
Actinokineospora cianjurensis
Actinokineospora cibodasensis
Actinokineospora diospyrosa
Actinokineospora enzanensis
Actinokineospora fastidiosa
Actinokineospora globicatena
Actinokineospora guangxiensis
Actinokineospora inagensis
Actinokineospora iranica
Actinokineospora pegani
Actinokineospora riparia
Actinokineospora soli
Actinokineospora spheciospongiae
Actinokineospora terrae
Actinomadura adrarensis
Actinomadura alba
Actinomadura algeriensis
Actinomadura apis
Actinomadura atramentaria
Actinomadura bangladeshensis
Actinomadura catellatispora
Actinomadura chibensis
Actinomadura chokoriensis
Actinomadura citrea
Actinomadura coerulea
Actinomadura craniellae
Actinomadura cremea
Actinomadura fibrosa
Actinomadura flavalba
Actinomadura formosensis
Actinomadura fulvescens
Actinomadura gamaensis
Actinomadura geliboluensis
Actinomadura glauciflava
Actinomadura hallensis
Actinomadura hankyongensis
Actinomadura hibisca
Actinomadura jiaoheensis
Actinomadura keratinilytica
Actinomadura kijaniata
Actinomadura latina
Actinomadura lepetitiana
Actinomadura livida
Actinomadura logoneensis
Actinomadura luteofluorescens
Actinomadura macra
Actinomadura macrotermitis
Actinomadura madurae
Actinomadura maheshkhaliensis
Actinomadura meridiana
Actinomadura mexicana
Actinomadura meyerae
Actinomadura miaoliensis
Actinomadura namibiensis
Actinomadura napierensis
Actinomadura nitritigenes
Actinomadura oligospora
Actinomadura pelletieri
Actinomadura physcomitrii
Actinomadura rayongensis
Actinomadura rifamycini
Actinomadura rubrobrunea
Actinomadura rubteroloni
Actinomadura rudentiformis
Actinomadura rugatobispora
Actinomadura rupiterrae
Actinomadura scrupuli
Actinomadura sediminis
Actinomadura sporangiiformans
Actinomadura sputi
Actinomadura syzygii
Actinomadura verrucosospora
Actinomadura vinacea
Actinomadura viridilutea
Actinomadura viridis
Actinomadura xylanilytica
Actinomadura yumaensis
Actinomarinicola tropica
Actinomyces bovis
Actinomyces bowdenii
Actinomyces catuli
Actinomyces dentalis
Actinomyces denticolens
Actinomyces gaoshouyii
Actinomyces gerencseriae
Actinomyces graevenitzii
Actinomyces haliotis
Actinomyces howellii
Actinomyces ihuae
Actinomyces israelii
Actinomyces johnsonii
Actinomyces lilanjuaniae
Actinomyces massiliensis
Actinomyces naeslundii
Actinomyces oricola
Actinomyces oris
Actinomyces polynesiensis
Actinomyces radicidentis
Actinomyces ruminicola
Actinomyces slackii
Actinomyces timonensis
Actinomyces urogenitalis
Actinomyces viscosus
Actinomyces vulturis
Actinomyces weissii
Actinomyces wuliandei
Actinomycetospora atypica
Actinomycetospora callitridis
Actinomycetospora chiangmaiensis
Actinomycetospora chibensis
Actinomycetospora chlora
Actinomycetospora cinnamomea
Actinomycetospora corticicola
Actinomycetospora iriomotensis
Actinomycetospora lutea
Actinomycetospora rishiriensis
Actinomycetospora straminea
Actinomycetospora succinea
Actinophytocola algeriensis
Actinophytocola burenkhanensis
Actinophytocola corallina
Actinophytocola gilvus
Actinophytocola oryzae
Actinophytocola sediminis
Actinophytocola timorensis
Actinophytocola xanthii
